"step","checkpoint","planned_change","regression_gate"
1,"Architecture documentation","Commit inventory and target architecture documents without changing cancerppir.R.","No analytical execution required; source checksum must remain unchanged."
2,"Module skeleton and loader","Create the R directory, empty target files and an explicit R/load_all.R source order.","Parse all R files; legacy workflow remains unchanged."
3,"Shared utilities","Move only dependency-light utility function definitions into R/00_utils.R.","R01 pilot followed by strict comparison."
4,"Input handling","Move delimiter detection and read_gene_table() into R/01_input.R.","R01 pilot followed by strict comparison."
5,"STRING mapping","Move HGNC/STRING mapping helpers into R/02_string_mapping.R.","R01 pilot, then all seven cases."
6,"Enrichment helpers","Move enrichment cache, local enrichment, optional online enrichment and term-ranking helpers into R/03_enrichment.R.","R01 pilot, then all seven cases."
7,"Module-labeling helpers","Move marker and rulebook interpretation helpers into R/04_module_labeling.R.","R01 pilot plus structural module-output comparison."
8,"Reporting helpers","Move workbook and output-table helpers into R/05_reporting.R.","All seven cases and workbook-schema comparison."
9,"Network and pipeline orchestration","Wrap graph construction, metrics, scoring and the remaining top-level workflow in explicit functions.","All seven cases and complete Phase 0 strict regression core."
10,"Slim CLI and final regression","Reduce cancerppir.R to an entry-point adapter and run the full seven-case regression comparison.","All seven cases, clean Git state and architecture-complete tag."
