"checkpoint","item_name","interface_role","source_start_line","source_end_line","source_expression_start","source_expression_end"
"2.11","string_db","input",404,689,67,105
"2.11","mapped_final","input",404,689,67,105
"2.11","input_tbl","input",404,689,67,105
"2.11","mapped_initial","input",404,689,67,105
"2.11","mapped_final_raw","input",404,689,67,105
"2.11","valid_alias_corrections","input",404,689,67,105
"2.11","initial_mapped","input",404,689,67,105
"2.11","initial_unmapped","input",404,689,67,105
"2.11","initial_pct","input",404,689,67,105
"2.11","after_mapped","input",404,689,67,105
"2.11","after_unmapped","input",404,689,67,105
"2.11","after_pct","input",404,689,67,105
"2.11","score_threshold","input",404,689,67,105
"2.11","top_n","input",404,689,67,105
"2.11","ppi","output",404,689,67,105
"2.11","comp","output",404,689,67,105
"2.11","node_metrics","output",404,689,67,105
"2.11","top_n","output",404,689,67,105
"2.11","top_candidates","output",404,689,67,105
"2.11","top_by_degree","output",404,689,67,105
"2.11","top_by_betweenness","output",404,689,67,105
"2.11","top_by_stress","output",404,689,67,105
"2.11","degree_distribution","output",404,689,67,105
"2.11","module_summary","output",404,689,67,105
"2.11","major_module_ids","output",404,689,67,105
"2.11","graph_summary","output",404,689,67,105
"2.11","mapping_summary","output",404,689,67,105
"2.11","gene_status","output",404,689,67,105
"2.11","still_unmapped","output",404,689,67,105
