"checkpoint","function_name","original_start_line","original_end_line","original_line_span","original_text_md5","target_file","extraction_mode"
"2.7","clean_enrichment_table",301,319,19,"af212b9e187d948ac5412b074ef4e1f5","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","run_gprofiler",321,353,33,"379c029fa51b5ab0b800b21da3515cc3","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","string_enrichment_terms_candidates",356,364,9,"c581e83a0c0fddca696bf660eeadac12","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","find_string_enrichment_terms",366,373,8,"911bbe001bdfe848ab02f441369a8bd8","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","download_string_enrichment_terms",375,398,24,"7f93512c251bace44efc4010a5fa17c8","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","read_string_enrichment_terms",400,459,60,"a176235395d63d8d196536a61878cf16","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","run_local_string_enrichment",461,541,81,"428c1ab95606aae8744754feb7ad48ec","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","run_string_enrichment_online",1036,1057,22,"80d0b96119b7a24d08b63771362cc9da","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","is_generic_enrichment_term",1405,1420,16,"224e633c195a764a7dc1fd8876f4795c","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","add_enrichment_priority",1422,1438,17,"10692e8ddde26b951c05acfcea3ba13a","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","select_top_enrichment",1440,1487,48,"100ecbe61742e6686addf19af3864559","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","collapse_module_enrichment",1489,1555,67,"ed221ef6ebc3e556eecfc3c1af990b9c","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","collapse_gprofiler_module_enrichment",1558,1584,27,"358a910fd1f946c29223824d1c2ab92f","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","collapse_string_online_module_enrichment",1586,1630,45,"1eef69c0142fca83d7c5db46dca816d5","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
"2.7","online_concordance_status",1632,1646,15,"14df9c17b0c5844aa051c1716324c296","R/03_enrichment.R","exact_source_range_without_semantic_rewrite"
