"attribute_scope","attribute_name","non_missing_values","unique_values","maximum_text_length","repeated_long_text"
"node","name",169,169,20,FALSE
"node","gene",169,169,12,FALSE
"node","pvalue",169,148,21,FALSE
"node","logFC",169,155,16,FALSE
"node","abs_logFC",169,155,16,FALSE
"node","neg_log10_pvalue",169,148,16,FALSE
"node","degree",169,31,2,FALSE
"node","betweenness",169,91,20,FALSE
"node","closeness",169,101,17,FALSE
"node","harmonic_closeness",169,118,19,FALSE
"node","stress_centrality",169,89,4,FALSE
"node","local_clustering",169,72,17,FALSE
"node","component",169,37,2,FALSE
"node","in_largest_component",169,2,5,FALSE
"node","community_louvain",169,43,2,FALSE
"node","candidate_score",169,168,19,FALSE
"node","module_direction",169,4,40,FALSE
"node","clean_module_label",169,4,40,FALSE
"node","marker_based_direction",169,3,67,FALSE
"node","marker_clean_label",169,3,25,FALSE
"node","marker_evidence_genes",169,3,74,FALSE
"node","enrichment_evidence_terms",169,6,219,TRUE
"node","module_rank",169,11,2,FALSE
"node","final_functional_label",169,4,35,FALSE
"node","putative_biological_program",169,4,35,FALSE
"node","specific_label_candidate",169,4,35,FALSE
"node","fallback_label",169,4,31,FALSE
"node","label_assignment_mode",169,2,32,FALSE
"node","label_source",169,3,54,FALSE
"node","label_evidence_score",169,5,1,FALSE
"node","label_confidence",169,3,51,FALSE
"node","label_warning",169,3,62,FALSE
"node","supporting_biological_themes",169,5,113,FALSE
"node","marker_label_evidence_count",169,3,1,FALSE
"node","term_label_evidence_count",169,4,1,FALSE
"node","required_specific_evidence_detected",169,2,5,FALSE
"node","marker_max_overlap_count",169,3,1,FALSE
"node","top_interpretable_terms",169,5,262,TRUE
"node","top_interpretable_sources",169,4,187,TRUE
"node","best_interpretable_fdr",169,5,20,FALSE
"node","top_raw_terms",169,6,232,TRUE
"node","database_evidence_summary",169,6,349,TRUE
"node","biological_direction_rationale",169,43,999,TRUE
"node","louvain_module_id",169,43,2,FALSE
"node","cytoscape_label",169,169,12,FALSE
"node","cytoscape_module_label",169,4,35,FALSE
"node","cytoscape_priority_class",169,3,43,FALSE
"node","id",169,169,4,FALSE
"edge","combined_score",630,343,3,FALSE
